movie,sentence,score
리플리,끝까지....긴장감..최고네요~~^^ ,10
정글 크루즈,"인디아나존스를 표방한 새로운 어드밴쳐영화그러나 진부한 액션감, 클리셰가 영화의 재미를 반감시킴특히 액션신은 드웨인존슨표 액션이 아니라서 그걸 기대하고 본다면 실망할 확률이 큼이야기 전개 또한 처음에 왜 이걸 찾아야하는지에 대한 이유의 명확성이 약간 떨어짐빌런 역할도 꽃잎을 훔쳐서 뭘해야 한다는 명분에.대해 확실하게 말해주지 않고 흐지부지하게 넘어가 왜 뺏으려고 하지? 하는 후반부에 들어서 의문이 들 정도로 약하다는게 단점인디아나존스를 기대하고 본 나로선 영화의 완성도가 아쉽다는게 내 평임그러나 에밀리블런트는 이쁘다 끝. ",5
레프트 비하인드: 휴거의 시작,요즘 나오는 영화들과는 다른 영화 ,10
모가디슈,생각보다 별로네요..감흥도 없고.. ,6
모가디슈,한줄로 요약하자면 믿고보는 배우와 믿고보는 감독. ,10
더 그레이트 샤크,여름에는 샤크?!! ,9
나이브스 아웃,기존의 추리 영화라고 생각하다간 오산 ,10
모가디슈,좋은 영화입니다. 미국은 떠나고 돈없고 힘없는 나라들 사람들 남아 각자생존하려는… 그러나 이데올로기가 서로를 구분짓게 만드는… 이게 인간사인데…우리 후손들은 극복하고 살았으면 좋겠다 ,10
뺑반,잼있는데???ㅋㅋ왜 섹드립하나없어서 그런가.. ,10
더 수어사이드 스쿼드,1편 보다 훨씬 잼있어요. 캐릭터들을 디테일하게 다루는게 좋았습니다. 역시 디즈니가 마블인수 하더니 달라졌어요. 가오갤 시리즈와 비슷합니다 ,8
이스케이프 룸 2: 노 웨이 아웃,1편을 넘는 2편은 없다 지루했음 ,7
모가디슈,개인적으로는 오랜만에 영화다운  영화엿네요.영상도 연출도 그렇지만...그를받쳐주는 탄탄한 연기...심지어 현지분들은 찐짜인거 같음... ,10
모가디슈,굳이 북한 대사에 자막을 넣을 필요가 있었음? 그리고 북한 대사관이 양아치 짓하는 모습이나 가족을 북에 두고와야 한다느니 이런 검증 안된 내용은 국민 대다수가 지지하는 우리 문재인 대통령이 대북협력과 김정은 국방위원장을 만나야 하는 이시국에 너무 토왜 짓한것 같음. ,2
발신제한,"55분까지 전개는 눈 돌릴 틈을 주지 않게 잘 끌고 갔는데, 그 이후는 너무 아쉽다 후반부는 전형적인 한국 영화를 보는듯 ",7
모가디슈,간만에 재밋게봣네요 한국영화중에 ,10
아들의 이름으로,이정국의 게으르고 안이한 연출. 국민배우로서의 명성을 스스로 망치는 듯한 안성기의 연기. 기자 평점이 5.18보다 낮네? ,2
블랙 위도우,엌ㅋㅋㅋ 너무 재밌어서 5번 봤습니다 닥터스트레인지도 4번밖에 안봤는데 최고예요 ,10
모가디슈,영화 시작부터 끝까지 긴장감을 놓칠수 없었고 정말 휼륭한 영화이다.코로나 이전이면 1000만도 무리없는 영화인데 코로나 시기 개봉해 안타까울 뿐 이다. ,10
갈매기,넘 감동적인  작품입니다 강추합니다 ,10
언더독,마음 아파서 곁눈질로 본 영화 ㅠㅠ ,10
알리타: 배틀 엔젤,아직도 기억난다 영화관에서 큰 화면으로 보던 영상미 개쩔었던게 ,10
더 수어사이드 스쿼드,R등급이 가져다주는 쾌감 ,7
내 머리 속의 지우개,2003년 클래식2004년 내머리속의지우개2년동안 인생영화 연이어찍은 갓예진 ,10
모가디슈,"여러 방면으로 울컥함이 올라오는 영화.. 독재 정부, 남북관계.. 많은 생각을 해보게 됨. ",10
모가디슈,100프로 로컬촬영이라고ㅇㅇ ,10
더 수어사이드 스쿼드,진작 이렇게 만들었어야지!! ,10
아이들은 즐겁다,웹툰보다가 영화봤는데 감동이 컬러감과 생동감을 같이 밀려서 오네요~너무 재밋게봤어요^^ 제가 생각한 다이의 모습이에요 ㅎ 조금 키가 크지만^_^ ,10
모가디슈,올해 본 것 중에 가장 한국영화중 재밌고 감동적이면서도 간만에 영화다운 영화 본 것같아요배우들도 너무 연기 다들 잘하셔서 더 몰입감있게 봤구요 특히 구교환 배우님좋아하는데 역할 너무너무 또 잘 소화해내셔서 너무 재밌게 봤어용 앞으로 상업영화도 자주 출연하셨으면 좋겠어요 ㅠㅠ 구교환 배우 연기는 볼때마다 재밌고 흥미로워요 다음 작품이 기대되구요 ㅎㅎ 무튼 모가디슈 보기 전엔 이름도 생소한데 실제로 다룬 소재도 생소하고 잘 알려진 사건? 은 아니라 잘 몰랐지만 또한번 우리역사에 대해서도 생각해볼 수 있던 기회였던 것 같습니다모가디슈 ㅠㅠ 더 흥행하시길 !! 무튼 강추 ,10
